,src_id,dest_id,month,time_taken
1816,892,491,1,120.0
1817,892,491,2,120.0
1818,892,491,3,120.0
1819,892,491,4,120.0
1820,892,491,5,120.0
1821,892,491,6,120.0
1822,892,491,7,120.0
1823,892,491,8,120.0
1824,892,491,9,120.0
1825,892,491,10,120.0
1826,892,491,11,120.0
1827,892,491,12,120.0
1829,892,875,2,15.143160127253447
1830,892,875,3,1.543965873125086
1831,892,875,4,11.51862464183381
1833,892,875,6,5.4062751407884155
1837,892,875,10,12.747875354107649
1840,902,156,1,109.8991935483871
1841,902,156,2,110.90137857900318
1842,902,156,3,113.08930782991605
1843,902,156,4,114.32664756446991
1844,902,156,5,108.14471243042672
1845,902,156,6,113.6283185840708
1846,902,156,7,107.72241992882562
1847,902,156,8,109.89795918367346
1848,902,156,9,113.93738140417457
1849,902,156,10,114.39093484419263
1850,902,156,11,113.14009661835749
1851,902,156,12,109.43391078979676
1852,902,888,1,108.14516129032258
1853,902,888,2,110.64687168610817
1854,902,888,3,111.90862804458511
1855,902,888,4,113.26074498567336
1856,902,888,5,103.63636363636364
1857,902,888,6,112.43121480289622
1858,902,888,7,101.85053380782918
1859,902,888,8,108.0
1860,902,888,9,111.63187855787476
1861,902,888,10,113.33711048158641
1862,902,888,11,110.53140096618357
1863,902,888,12,108.77097258218524
1868,911,254,1,119.97418244406197
1869,911,254,2,119.97276441216523
1870,911,254,3,119.96554100620261
1871,911,254,4,119.97080291970804
1872,911,254,5,119.95243757431629
1873,911,254,6,119.9671682626539
1874,911,254,7,119.95468277945619
1875,911,254,8,119.94782608695652
1876,911,254,9,119.97578040904197
1877,911,254,10,119.97087378640776
1878,911,254,11,119.97240110395585
1879,911,254,12,119.96526169522927
1880,911,1117,1,119.97335701598578
1881,911,1117,2,139.66433566433565
1882,911,1117,3,136.75803402646503
1883,911,1117,4,126.92945016319358
1884,911,1117,5,119.95114006514657
1885,911,1117,6,129.60372302919194
1886,911,1117,7,120.0
1887,911,1117,8,120.0
1888,911,1117,9,119.9749443207127
1889,911,1117,10,120.0
1890,911,1117,11,119.97146932952924
1891,911,1117,12,119.97138087288337
1908,1000,587,1,217.46161719549642
1909,1000,587,2,219.43965517241378
1910,1000,587,3,220.80033580523298
1911,1000,587,4,221.98250728862973
1912,1000,587,5,213.86641580432737
1913,1000,587,6,221.24386252045826
1914,1000,587,7,134.5536519386835
1915,1000,587,8,217.30569948186528
1916,1000,587,9,220.8628211342705
1917,1000,587,10,222.33236151603498
1918,1000,587,11,220.04412575841147
1919,1000,587,12,146.14785992217898
1920,1002,487,1,133.125
1921,1002,487,2,130.68928950159068
1922,1002,487,3,128.97481766891428
1923,1002,487,4,127.39255014326648
1924,1002,487,5,137.42115027829314
1925,1002,487,6,128.3024939662108
1926,1002,487,7,139.16370106761565
1927,1002,487,8,133.16326530612244
1928,1002,487,9,128.9089184060721
1929,1002,487,10,127.30878186968839
1930,1002,487,11,130.0805152979066
1931,1002,487,12,131.8837812031101
1932,1002,587,1,119.87903225806451
1933,1002,587,2,119.87274655355249
1934,1002,587,3,119.85138296408422
1935,1002,587,4,120.0
1936,1002,587,5,120.0
1937,1002,587,6,120.0
1938,1002,587,7,120.0
1939,1002,587,8,120.0
1940,1002,587,9,120.0
