Incident Number,Day,Month,Hour,Lat,Long
16-0001314,8,Thursday,0,42.3866892,-71.0068424
16-0001317,8,Thursday,0,42.3638375,-71.0572425
16-0001325,9,Thursday,0,42.388055,-71.005614
16-0001326,9,Thursday,0,42.346817,-71.085501
16-0001328,9,Thursday,0,42.3325159,-71.0718736
16-0001332,10,Thursday,0,42.317196,-71.0649343
16-0001333,10,Thursday,0,42.345825,-71.042399
16-0001334,10,Thursday,0,42.312832,-71.064752
16-0001335,10,Thursday,0,42.388918,-71.00633
16-0001336,10,Thursday,0,42.3503105,-71.0798846
16-0001341,10,Thursday,0,42.3593398,-71.0535429
16-0001343,10,Thursday,0,42.3604823,-71.0595678
16-0001345,11,Thursday,0,42.289754,-71.084039
16-0001356,11,Thursday,0,42.3668394,-71.068088
16-0001357,12,Thursday,0,42.869767,-76.9872215
16-0001359,12,Thursday,0,42.2973205,-71.0744952
16-0001360,12,Thursday,0,42.3440838,-71.0988876
16-0001364,12,Thursday,0,42.366251,-71.052759
16-0001368,12,Thursday,0,42.3506432,-71.0725379
16-0001370,12,Thursday,0,42.281532,-71.062556
16-0001372,13,Thursday,0,42.354588,-71.053276
16-0001375,13,Thursday,0,42.358119,-71.04980589
16-0001377,13,Thursday,0,41.397606,-96.209458
16-0001378,13,Thursday,0,42.348989,-71.0638262
16-0001381,13,Thursday,0,42.271259,-71.082336
16-0001382,14,Thursday,0,42.3619187,-71.0701194
16-0001386,14,Thursday,0,42.292773,-71.121393
16-0001395,15,Thursday,0,42.3382806,-71.1058695
16-0001397,15,Thursday,0,42.3248426,-71.0950158
16-0001398,15,Thursday,0,42.2973205,-71.0744952
16-0001400,15,Thursday,0,42.316904,-71.082563
16-0001402,15,Thursday,0,42.34052,-71.078074
16-0001406,16,Thursday,0,42.3334312,-71.0439392
16-0001407,16,Thursday,0,42.3565905,-71.0527728
16-0001410,16,Thursday,0,42.3201791,-71.0712903
16-0001413,16,Thursday,0,42.34855,-71.0755607
16-0001414,16,Thursday,0,42.356624,-71.0716691
16-0001425,18,Thursday,0,42.3593059,-71.0668304
16-0001426,18,Thursday,0,42.3443563,-71.1012841
